"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"-";"";"14_PIN_CONN";"14_PIN_CONN";"";"";"";"";"";"";"";
".";"";"14_PIN_CONN";"14_PIN_CONN";"";"";"";"";"";"";"";
".-";"";"14_PIN_CONN";"14_PIN_CONN";"";"";"";"";"";"";"";
"..";"";"14_PIN_CONN";"14_PIN_CONN";"";"";"";"";"";"";"";
"B1LED";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";
"C1";"22pF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C2";"22pF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C3";"0.1uF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C5";"0.1uF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C7";"10uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"7";"C";
"C8";"10uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"7";"C";
"D1";"";"1N4148DO35-7";"DO35-7";"DIODE";"";"";"";"";"58";"";
"IC1";"7805L";"7805L";"TO92";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";
"IC2";"7805T";"7805T";"TO220H";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";
"ICSP";"";"MA03-2";"MA03-2";"PIN HEADER";"";"";"unknown";"unknown";"15";"";
"PWR";"PWR";"2_PIN_SCREW_CONN";"2_PIN_SCREW_CONN";"";"";"";"";"";"";"";
"PWRLED";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";
"R1";"10K";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";
"R2";"2K";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3";"330";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";
"RESET";"";"SPST_TACT-EVQQ2";"EVQ-Q2";"SMT 6mm switch, EVQQ2 series";"";"";"";"";"";"";
"U$1";"ATMEGA_328_DIL";"ATMEGA_328_DIL";"ATMEGA_328_DIL";"";"";"";"";"";"";"";
"Y1";"";"CRYSTALHC49UV";"HC49U-V";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";"";"";"";"";
